@relation 'metasploit-framework-data-weka.filters.unsupervised.attribute.AddExpression-Ea8/a8+0-Nstatus-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a8/a8+0 -N status-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Remove-V-R7,2,6,11,8,12,10,17,18,15,1,5,23,14,25,53'

@attribute num_commits numeric
@attribute created_at_day_turn {noite,manha,madrugada,tarde}
@attribute description_length numeric
@attribute files_changed numeric
@attribute files_added numeric
@attribute src_files numeric
@attribute files_modified numeric
@attribute new_entropy numeric
@attribute entropy_diff numeric
@attribute src_churn numeric
@attribute created_at_week_day {terca-feira,segunda-feira,sabado,sexta-feira,quarta-feira,domingo,quinta-Feira}
@attribute intra_branch {false,true}
@attribute at_mentions_comments numeric
@attribute other_files numeric
@attribute project_succ_rate numeric
@attribute status {0,1}

@data
2,madrugada,42,1,0,1,1,8.723944,0.023033,14,terca-feira,false,0,0,0.841328,1
1,madrugada,76,1,0,1,1,4.774241,0.012605,4,terca-feira,false,0,0,0.841484,0
1,tarde,5,1,0,1,1,4.776434,0.012611,6,segunda-feira,false,1,0,0.84161,1
1,manha,24,1,0,1,1,4.38247,0.011571,2,segunda-feira,false,1,0,0.841581,1
1,noite,7,1,0,0,1,5.108159,0.013487,0,domingo,false,2,0,0.841551,1
1,tarde,72,2,0,2,2,9.302671,0.024561,85,domingo,false,6,0,0.841522,1
8,manha,148,11,5,7,5,57.115321,0.150798,523,domingo,false,4,0,0.841493,1
3,manha,245,1,0,1,1,4.580652,0.012094,66,sexta-feira,false,7,0,0.841619,1
3,madrugada,53,199,0,199,199,909.780919,2.402038,0,sexta-feira,false,0,0,0.84159,1
1,noite,107,1,0,0,1,4.810338,0.0127,0,quinta-Feira,false,0,1,0.84156,1
43,noite,7,977,402,377,569,11576.157684,30.563804,23158,quinta-Feira,false,0,35,0.841716,0
2,noite,248,2,2,2,0,9.727518,0.025683,166,quinta-Feira,false,4,0,0.841687,1
4,madrugada,113,242,3,54,6,27.324551,0.072152,4472,quinta-Feira,true,0,182,0.841657,1
4,madrugada,90,4,1,3,3,18.097215,0.047787,740,quarta-feira,true,0,0,0.841784,1
1,madrugada,8,1,0,1,1,4.32918,0.011431,2,terca-feira,false,0,0,0.84194,0
18,madrugada,33,15,0,15,9,45.021867,0.118882,680,terca-feira,false,9,0,0.84191,1
2,noite,433,2,2,2,0,9.989313,0.026377,270,segunda-feira,false,0,0,0.842037,1
2,manha,604,1,1,1,0,4.710431,0.012438,147,segunda-feira,false,7,0,0.842008,1
3,tarde,429,2,1,1,1,4.927397,0.013011,93,domingo,false,3,0,0.841979,1
2,noite,8,1,0,1,1,4.800492,0.012676,135,sabado,false,0,0,0.841949,1
1,noite,138,1,0,1,1,4.349095,0.011487,4,quinta-Feira,false,0,0,0.84192,1
2,noite,42,21,0,21,21,98.494595,0.260147,44,quinta-Feira,false,0,0,0.841891,1
1,noite,5,1,0,1,1,4.43961,0.011726,14,quinta-Feira,false,4,0,0.841861,1
26,manha,602,32,3,28,29,92.831326,0.245189,1048,quinta-Feira,false,1,0,0.841832,1
2,noite,161,26,0,26,26,111.861522,0.295557,104,quarta-feira,false,1,0,0.841803,1
1,noite,46,1,0,1,1,3.647346,0.009637,1,quarta-feira,false,0,0,0.841773,1
1,madrugada,296,2,0,2,2,9.421237,0.024893,174,quarta-feira,false,2,0,0.841744,1
8,madrugada,56,14,4,11,10,4.86237,0.012852,152,quarta-feira,false,1,0,0.841715,1
1,madrugada,23,2,0,2,2,10.116817,0.02674,50,quarta-feira,false,0,0,0.841685,1
1,noite,593,1,0,1,1,4.98391,0.013181,6,terca-feira,false,1,0,0.841656,1
15,noite,215,7,2,4,4,68.59199,0.181408,1507,terca-feira,false,7,0,0.841626,1
3,noite,47,1,0,1,1,4.883363,0.012915,8,terca-feira,false,4,0,0.841597,1
1,tarde,32,1,0,1,1,4.281303,0.011323,2,terca-feira,false,0,0,0.841568,1
3,tarde,60,1,0,1,1,13.627176,0.03604,10,terca-feira,false,1,0,0.841538,1
1,manha,61,1,0,1,1,4.249517,0.011239,1,terca-feira,false,0,0,0.841509,1
8,madrugada,754,2,1,1,1,28.562152,0.075539,202,segunda-feira,false,0,0,0.841792,1
23,tarde,206,1,0,1,1,67.757542,0.179201,2441,domingo,false,7,0,0.841763,1
6,manha,202,9,5,7,4,33.829408,0.08947,338,sabado,false,15,0,0.841733,1
2,madrugada,11,1,0,1,1,4.435298,0.011729,29,sabado,false,2,0,0.841704,1
1,noite,10,1,0,1,1,5.158449,0.013643,1,sexta-feira,false,1,0,0.841674,1
1,manha,42,1,0,1,0,0,0,102,sexta-feira,false,0,0,0.841645,1
3,manha,1304,3,1,1,2,9.71526,0.025694,180,sexta-feira,false,0,0,0.841615,1
1,tarde,5,1,0,1,1,4.807781,0.012717,6,quarta-feira,false,0,0,0.841586,1
1,manha,121,1,0,1,1,4.882537,0.012915,17,quarta-feira,false,7,0,0.841557,1
8,madrugada,183,4,1,2,2,38.234404,0.101134,648,quarta-feira,false,16,0,0.841527,1
20,noite,138,2,1,2,1,5.214933,0.013794,270,terca-feira,false,33,0,0.841497,1
1,tarde,36,1,0,1,1,4.576551,0.012105,4,terca-feira,false,2,0,0.841468,1
5,tarde,232,3,2,2,1,13.263601,0.035084,114,terca-feira,false,0,1,0.841625,0
1,madrugada,54,1,0,1,1,4.668162,0.012351,0,terca-feira,false,0,0,0.841595,1
1,madrugada,15,1,0,1,1,4.559756,0.012064,3,terca-feira,false,0,0,0.841566,1
1,noite,135,1,0,1,1,4.923638,0.01303,58,segunda-feira,false,0,0,0.841536,1
178,noite,30,388,18,365,364,3567.520012,9.483601,2302,segunda-feira,true,3,10,0.841507,1
1,noite,310,1,1,1,0,5.042658,0.013347,210,segunda-feira,false,0,0,0.841477,1
1,noite,40,1,0,1,1,4.644639,0.012294,9,segunda-feira,false,0,0,0.841447,1
