@relation 'candlepin-data-weka.filters.unsupervised.attribute.AddExpression-Ea8/a8+0-Nstatus-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a8/a8+0 -N status-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Remove-V-R7,2,6,8,11,15,9,10,16,12,17,14,18,1,19,53'

@attribute num_commits numeric
@attribute created_at_day_turn {noite,madrugada,tarde,manha}
@attribute description_length numeric
@attribute files_added numeric
@attribute files_changed numeric
@attribute src_churn numeric
@attribute files_deleted numeric
@attribute files_modified numeric
@attribute test_churn numeric
@attribute src_files numeric
@attribute new_entropy numeric
@attribute other_files numeric
@attribute entropy_diff numeric
@attribute created_at_week_day {terca-feira,quinta-Feira,quarta-feira,segunda-feira,sexta-feira,sabado,domingo}
@attribute commits_on_files_touched numeric
@attribute status {0,1}

@data
1,noite,40,0,14,34,0,14,0,14,62.357082,0,1.033308,sexta-feira,33,1
1,tarde,34,0,2,18,0,2,0,1,9.852529,0,0.162755,sexta-feira,8,1
1,madrugada,60,0,15,101,4,11,0,6,55.001387,9,0.908573,sexta-feira,24,1
1,noite,52,0,1,2,0,1,0,1,4.728258,0,0.078107,quinta-Feira,1,1
1,tarde,5,0,1,0,0,1,0,0,4.235732,1,0.069971,quinta-Feira,0,1
1,noite,39,0,3,38,0,3,0,3,13.689386,0,0.226137,terca-feira,19,1
2,noite,39,0,2,10,0,2,0,2,10.442346,0,0.172498,segunda-feira,19,1
1,noite,68,0,6,36,0,6,0,6,27.937667,0,0.462791,segunda-feira,18,1
1,noite,8,0,1,0,0,1,0,0,4.859998,1,0.080507,quinta-Feira,13,1
2,noite,58,1,12,299,0,11,70,11,56.129215,1,0.930541,quarta-feira,44,1
1,noite,9,0,3,7,0,3,0,3,13.981939,0,0.2318,quarta-feira,19,1
1,noite,60,0,1,11,0,1,0,1,4.295452,0,0.071212,quarta-feira,23,1
2,tarde,22,1,13,80,0,12,138,9,100.183175,4,1.662284,quarta-feira,61,1
1,tarde,9,1,4,0,0,3,0,0,20.37593,4,0.338087,terca-feira,18,1
1,noite,9,0,5,90,0,5,0,5,25.043518,0,0.415532,segunda-feira,15,1
1,noite,6,0,1,18,0,1,0,1,4.996212,0,0.082901,sexta-feira,12,1
1,noite,46,0,1,6,0,1,0,1,4.416599,0,0.073285,sexta-feira,5,1
1,noite,60,0,7,268,0,7,215,7,33.762341,0,0.560224,sexta-feira,27,1
1,tarde,36,0,3,60,0,3,0,3,13.738435,0,0.233916,quinta-Feira,17,1
2,noite,9,2,6,87,0,4,0,1,29.170404,5,0.496667,quarta-feira,19,1
3,noite,11,0,4,32,0,4,39,4,9.296868,0,0.158292,quarta-feira,2,1
1,noite,30,0,1,0,0,1,0,0,4.390147,1,0.074748,quarta-feira,13,1
5,noite,16,3,12,87,0,9,0,4,72.099024,8,1.243959,sexta-feira,31,1
19,noite,182,29,48,851,3,16,0,19,220.598742,26,3.806097,quinta-Feira,4,1
272,tarde,233,22,288,21470,25,241,12535,262,4828.431608,11,83.307271,quinta-Feira,94,1
3,tarde,129,0,4,212,0,4,346,4,46.933535,0,0.811263,quinta-Feira,9,0
2,madrugada,53,0,2,63,0,2,0,2,9.348695,0,0.161972,quinta-Feira,3,1
1,noite,45,0,1,0,0,1,0,0,4.98638,1,0.08639,quarta-feira,3,1
7,tarde,116,14,32,1672,1,17,696,23,177.670827,4,3.07818,quarta-feira,21,1
4,madrugada,20,1,9,699,0,8,0,4,62.901373,5,1.089778,terca-feira,25,1
1,madrugada,39,0,2,7,0,2,6,2,9.357373,0,0.162118,quinta-Feira,15,1
2,noite,47,0,6,80,0,6,642,5,31.840525,1,0.551643,terca-feira,6,1
