@relation 'hazelcast-data-weka.filters.unsupervised.attribute.StringToNominal-Rfirst-last-weka.filters.unsupervised.attribute.AddExpression-Ea8/a8+0-Nstatus-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a8/a8+0 -N status-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Remove-V-R13,7,8,9,14,6,2,11,4,10,12,17,15,16,18,53'

@attribute doc_files numeric
@attribute num_commits numeric
@attribute files_added numeric
@attribute files_deleted numeric
@attribute other_files numeric
@attribute description_length numeric
@attribute created_at_day_turn {manha,madrugada,noite,tarde}
@attribute files_changed numeric
@attribute forward_links {false,true}
@attribute files_modified numeric
@attribute src_files numeric
@attribute new_entropy numeric
@attribute src_churn numeric
@attribute test_churn numeric
@attribute entropy_diff numeric
@attribute status {0,1}

@data
0,2,0,0,3,7,madrugada,4,false,4,1,37.599988,0,2,0.183523,1
0,2,0,0,0,60,noite,3,false,3,3,15.207617,52,6,0.074228,1
0,2,0,0,2,113,noite,19,false,19,17,179.063875,112,0,0.874001,1
0,2,0,0,0,14,noite,3,false,3,3,14.172651,4,31,0.056124,1
0,1,0,0,1,24,noite,3,false,3,2,0,28,60,0,1
0,2,0,0,0,10,noite,3,false,3,3,14.172651,4,32,0.069176,1
0,2,2,0,3,27,noite,5,false,3,2,0,50,124,0,1
0,1,0,0,0,19,tarde,1,false,1,1,0,6,0,0,1
0,1,0,0,0,21,tarde,1,false,1,1,3.551648,2,0,0.014065,1
0,1,0,0,0,18,tarde,1,false,1,1,3.499387,2,0,0.01702,1
0,2,0,0,0,56,noite,4,false,4,4,38.857758,0,46,0.188996,1
0,2,9,0,0,6,noite,33,false,24,33,65.464384,1776,329,0.318481,1
0,1,1,0,0,87,tarde,3,false,2,3,0,0,95,0,1
0,3,0,2,0,4,tarde,5,false,3,5,21.300951,192,172,0.103628,1
0,1,0,0,0,13,tarde,1,false,1,1,4.670692,2,0,0.022723,1
0,1,0,0,2,18,tarde,3,false,3,3,13.251747,6,0,0.064469,1
0,1,0,0,0,5,manha,1,false,1,1,4.491796,11,0,0.017787,1
1,61,19,70,34,6,manha,548,false,459,496,2327.044497,11487,2192,11.320909,1
0,3,0,0,0,5,manha,1,false,1,1,8.984656,17,0,0.04371,1
0,1,0,0,0,72,madrugada,7,false,7,7,33.786631,207,0,0.16437,1
0,2,0,0,0,5,madrugada,3,false,3,3,22.726311,7,88,0.089996,1
0,2,0,0,0,5,madrugada,3,false,3,3,22.726311,7,88,0.110562,1
0,1,0,0,0,11,noite,2,false,2,2,9.161197,52,2,0.036278,1
0,1,0,0,0,10,noite,2,false,2,2,9.161197,52,2,0.044613,1
0,1,0,0,0,56,tarde,4,false,4,4,18.686542,61,221,0.074013,1
0,1,0,0,0,53,tarde,4,false,4,4,18.750845,61,221,0.091312,1
0,2,8,1,3,1,tarde,57,false,48,54,14.388034,1727,393,0.070066,1
0,1,0,0,0,22,tarde,2,false,2,2,8.977882,2,77,0.035559,1
0,1,2,0,0,18,madrugada,2,false,0,2,9.678959,0,75,0.047133,1
0,2,0,0,0,33,noite,9,false,9,9,42.084461,167,54,0.204938,1
0,1,0,2,0,16,tarde,5,false,3,5,13.729203,118,14,0.066857,1
0,1,2,0,0,14,tarde,7,false,5,7,32.145388,207,155,0.127367,1
0,1,1,0,0,13,tarde,3,false,2,3,13.510073,4,72,0.05353,1
0,1,0,0,0,21,tarde,2,false,2,2,8.977882,2,77,0.04374,1
0,2,0,0,0,34,madrugada,13,false,13,13,113.813882,185,10,0.554499,1
0,2,2,0,0,14,noite,7,false,5,7,32.170431,420,312,0.156766,1
0,2,4,0,1,92,tarde,121,false,117,173,1108.421868,2112,722,5.401343,1
0,2,0,0,0,33,tarde,21,false,21,21,192.972384,805,52,0.940355,1
0,1,0,0,0,213,madrugada,1,false,1,1,4.374915,281,0,0.020973,1
0,3,0,0,0,58,madrugada,1,false,1,1,13.710689,495,0,0.065729,0
0,2,1,0,1,50,noite,30,false,29,29,138.497206,899,4,0.666546,1
0,1,0,0,0,66,noite,10,false,10,10,47.83354,769,309,0.230209,1
0,4,19,0,1,93,tarde,21,false,2,20,86.938752,5845,2248,0.41841,1
0,2,1,0,0,56,tarde,5,false,4,5,46.40559,282,150,0.223387,1
0,2,0,0,0,22,tarde,4,false,4,4,36.860006,160,0,0.177436,1
