@relation 'kuma-data-weka.filters.unsupervised.attribute.AddExpression-Ea8/a8+0-Nstatus-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a8/a8+0 -N status-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Remove-V-R6,2,5,7,10,11,12,13,8,17,1,15,18,14,9,53'

@attribute description_length numeric
@attribute created_at_day_turn {noite,madrugada,manha,tarde}
@attribute intra_branch {true,false}
@attribute num_commits numeric
@attribute files_modified numeric
@attribute files_changed numeric
@attribute src_files numeric
@attribute doc_files numeric
@attribute files_added numeric
@attribute new_entropy numeric
@attribute created_at_week_day {quinta-Feira,quarta-feira,sabado,sexta-feira,terca-feira,domingo,segunda-feira}
@attribute src_churn numeric
@attribute entropy_diff numeric
@attribute other_files numeric
@attribute files_deleted numeric
@attribute status {0,1}

@data
22,noite,false,1,1,1,0,0,0,4.952409,sexta-feira,0,0.019665,1,0,1
123,madrugada,false,1,4,4,4,0,0,17.918397,sexta-feira,25,0.07115,0,0,1
69,madrugada,false,1,1,1,1,0,0,4.571459,sexta-feira,6,0.018152,0,0,1
44,noite,true,1,1,1,1,0,0,4.14492,quinta-Feira,19,0.016459,0,0,1
12,tarde,true,28,70,111,36,0,16,168.89566,quinta-Feira,1545,0.670646,89,25,1
38,madrugada,false,1,1,1,1,0,0,5.321202,quarta-feira,2,0.021129,0,0,1
3,madrugada,false,2,6,6,0,0,0,23.215845,terca-feira,0,0.092184,5,0,1
11,madrugada,false,1,1,1,0,1,0,4.393858,terca-feira,0,0.017447,0,0,1
13,madrugada,false,2,45,45,0,41,0,126.094679,terca-feira,0,0.500705,3,0,1
24,noite,true,1,1,1,0,1,0,3.56597,segunda-feira,0,0.01416,0,0,1
195,tarde,true,1,1,1,0,1,0,4.697891,sexta-feira,0,0.018694,0,0,1
10,madrugada,false,2,9,9,3,6,0,22.133772,sexta-feira,34,0.088073,0,0,1
17,madrugada,false,1,1,1,1,0,0,3.477083,sexta-feira,11,0.013836,0,0,1
10,madrugada,false,3,3,21,1,0,12,47.510733,sexta-feira,7,0.189052,2,6,1
20,madrugada,true,1,1,15,14,0,0,4.899687,sexta-feira,1796,0.019448,0,14,1
6,madrugada,false,2,37,37,28,9,0,331.204019,sexta-feira,164,1.314625,0,0,1
41,madrugada,false,1,2,2,0,2,0,9.707339,sexta-feira,0,0.03853,0,0,1
6,noite,false,1,1,1,0,1,0,4.700482,quinta-Feira,0,0.018664,0,0,1
15,madrugada,false,2,1,1,1,0,0,9.745039,quinta-Feira,12,0.038695,0,0,1
7,madrugada,true,2,10,10,5,4,0,37.23089,quinta-Feira,86,0.147833,1,0,1
9,noite,false,2,8,8,4,0,0,28.885637,quarta-feira,23,0.114698,2,0,1
42,madrugada,false,2,2,2,0,2,0,19.424472,quarta-feira,0,0.07713,0,0,1
10,madrugada,false,2,2,2,2,0,0,4.242587,quarta-feira,12,0.016846,0,0,1
8,madrugada,false,1,2,2,1,0,0,9.476202,quarta-feira,0,0.037628,1,0,1
7,noite,false,1,1,1,1,0,0,4.594263,terca-feira,6,0.018243,0,0,1
22,noite,false,1,1,1,1,0,0,4.312425,terca-feira,9,0.017124,0,0,1
7,madrugada,true,1,1,1,1,0,0,4.381799,terca-feira,2,0.017399,0,0,1
42,madrugada,false,1,1,1,1,0,0,4.578425,terca-feira,16,0.01818,0,0,1
76,madrugada,false,1,1,1,1,0,0,4.44721,terca-feira,105,0.017659,0,0,1
35,madrugada,true,3,2,2,1,0,0,9.187281,terca-feira,2,0.036481,1,0,1
31,noite,false,2,3,4,1,3,1,34.179397,domingo,56,0.135863,0,0,1
4,madrugada,false,2,1,1,0,1,0,9.480834,sabado,0,0.037686,0,0,1
21,madrugada,false,1,1,1,1,0,0,3.601352,sabado,3,0.014315,0,0,0
77,madrugada,false,1,2,2,1,0,0,10.024679,sabado,17,0.039848,1,0,1
12,madrugada,true,6,21,28,22,8,7,56.794216,sabado,1155,0.225756,1,0,1
66,noite,false,1,1,1,0,0,0,4.719777,sexta-feira,0,0.018761,1,0,1
11,noite,true,4,3,4,2,1,1,40.190364,quinta-Feira,130,0.159788,0,0,1
86,noite,true,3,2,2,2,0,0,12.280905,quinta-Feira,21,0.048826,0,0,1
9,madrugada,false,2,2,3,2,1,1,13.314972,quinta-Feira,112,0.052937,0,0,1
7,madrugada,true,2,3,3,2,1,0,9.082493,quinta-Feira,29,0.03611,0,0,1
8,noite,false,2,3,3,2,0,0,18.608616,quarta-feira,10,0.073984,1,0,1
23,noite,false,2,60,60,1,5,0,564.966884,quarta-feira,20,2.246183,0,0,1
8,madrugada,true,5,5,6,2,0,1,36.488495,quarta-feira,14,0.14507,3,0,1
4,noite,false,2,1,1,0,0,0,8.992123,segunda-feira,0,0.035751,1,0,1
39,manha,false,2,9,43,5,1,34,240.862091,segunda-feira,173,0.957614,35,0,1
137,madrugada,true,8,51,62,48,5,10,260.914448,sabado,2212,1.037338,5,1,1
8,madrugada,true,9,4,7,1,0,3,36.295746,sexta-feira,74,0.144304,5,0,0
37,noite,false,1,5,6,1,4,1,24.928749,quarta-feira,1,0.099074,3,0,1
10,noite,false,2,1,1,0,1,0,8.463745,quarta-feira,0,0.033637,0,0,1
18,manha,false,2,2,2,2,0,0,15.86212,quarta-feira,53,0.063167,0,0,1
7,?,true,4,194,195,190,0,1,859.90932,terca-feira,1119,3.42439,5,0,0
6,noite,false,2,1,1,0,1,0,8.122199,terca-feira,0,0.032345,0,0,1
27,noite,false,2,2,3,1,1,1,25.110337,terca-feira,2,0.099996,3,0,1
33,noite,false,1,8,8,0,0,0,39.642643,terca-feira,0,0.157868,0,0,1
6,madrugada,false,2,2,2,0,0,0,9.318707,terca-feira,0,0.037116,2,0,1
44,madrugada,true,23,15,15,10,3,0,121.651371,terca-feira,267,0.484527,2,0,1
53,madrugada,false,3,5,8,5,3,0,40.648062,terca-feira,28,0.162153,1,3,1
9,noite,false,1,1,1,1,0,0,4.270696,segunda-feira,4,0.017037,0,0,0
43,noite,false,1,4,5,2,0,1,22.021676,segunda-feira,2,0.087862,3,0,1
8,madrugada,false,1,1,1,1,0,0,4.29742,sabado,3,0.017146,0,0,1
6,noite,false,2,1,3,4,0,2,4.676293,sexta-feira,18,0.01828,0,0,0
12,noite,false,2,2,2,2,0,0,15.735713,sexta-feira,8,0.061513,0,0,1
12,madrugada,false,1,1,1,0,1,0,4.713209,sexta-feira,0,0.018422,0,0,1
8,madrugada,false,1,1,1,1,0,0,4.143156,sexta-feira,13,0.016194,0,0,1
12,madrugada,false,1,2,2,0,2,0,8.865727,sexta-feira,0,0.034652,0,0,1
71,noite,false,1,2,2,1,1,0,8.417108,quinta-Feira,2,0.032907,0,0,1
6,noite,false,1,1,1,0,1,0,4.955637,quinta-Feira,0,0.019374,0,0,1
8,noite,false,1,1,1,0,0,0,5.047108,quinta-Feira,0,0.019732,1,0,1
6,noite,false,1,0,1,0,1,0,0,quinta-Feira,0,0,0,1,1
7,madrugada,true,8,79,80,1,0,1,165.794591,quinta-Feira,18,0.647675,0,0,1
10,madrugada,false,1,1,1,1,0,0,4.374739,quinta-Feira,4,0.01709,0,0,0
30,noite,false,2,7,7,0,7,0,66.307817,quarta-feira,0,0.259031,0,0,1
40,noite,false,2,1,1,0,1,0,8.526892,quarta-feira,0,0.03331,0,0,1
27,noite,true,1,1,1,1,0,0,5.27904,terca-feira,14,0.020623,0,0,1
14,noite,false,10,12,12,0,2,0,17.731455,terca-feira,0,0.069217,0,0,1
9,madrugada,false,1,2,2,2,0,0,8.626328,sabado,2,0.034834,0,0,1
6,noite,false,10,56,69,10,252,5,851.88575,sexta-feira,1465,3.440027,38,8,1
9,noite,false,5,1,1,1,0,0,9.292478,sexta-feira,76,0.037524,0,0,1
12,noite,false,1,1,1,0,1,0,4.680987,sexta-feira,0,0.018902,0,0,1
8,tarde,false,1,1,1,0,1,0,4.697412,sexta-feira,0,0.018969,0,0,1
24,madrugada,false,2,5,5,1,4,0,27.220224,sexta-feira,21,0.109919,0,0,1
28,madrugada,true,9,6,179,3,0,169,468.986282,sexta-feira,63,1.893829,4,4,1
6,noite,true,9,55,69,12,252,6,491.034227,quarta-feira,969,1.98286,37,8,0
6,noite,false,1,50,62,9,252,4,243.091268,quarta-feira,482,0.981634,33,8,0
55,noite,true,2,7,110,82,28,1,32.67925,terca-feira,4546,0.131963,0,102,1
80,noite,false,1,1,1,0,1,0,4.558928,terca-feira,0,0.01841,0,0,1
38,noite,true,1,1,1,1,0,0,4.343124,terca-feira,12,0.017538,0,0,1
8,madrugada,false,2,2,2,2,0,0,8.944686,terca-feira,35,0.03612,0,0,1
7,noite,true,3,2,9,9,0,2,14.742261,segunda-feira,350,0.059531,0,5,1
37,noite,true,1,1,1,1,0,0,4.015049,segunda-feira,24,0.016213,0,0,1
14,tarde,true,4,23,23,20,0,0,117.898701,segunda-feira,168,0.476092,2,0,1
13,tarde,true,1,1,1,0,1,0,4.790991,segunda-feira,0,0.019347,0,0,1
19,noite,false,1,3,3,1,2,0,13.082375,sexta-feira,2,0.052828,0,0,1
25,noite,false,2,3,5,1,4,2,26.210901,sexta-feira,91,0.105843,0,0,1
11,noite,false,2,7,7,0,4,0,32.324636,sexta-feira,0,0.130554,4,0,1
