@relation 'diaspora-data-weka.filters.unsupervised.attribute.AddExpression-Ea8/a8+0-Nstatus-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a8/a8+0 -N status-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Remove-V-R6,7,2,9,8,10,11,12,15,13,1,14,18,17,16,53'

@attribute description_length numeric
@attribute num_commits numeric
@attribute created_at_day_turn {manha,noite,madrugada,tarde}
@attribute files_deleted numeric
@attribute files_added numeric
@attribute files_modified numeric
@attribute files_changed numeric
@attribute src_files numeric
@attribute src_churn numeric
@attribute doc_files numeric
@attribute created_at_week_day {quarta-feira,segunda-feira,domingo,sabado,sexta-feira,quinta-Feira,terca-feira}
@attribute other_files numeric
@attribute entropy_diff numeric
@attribute new_entropy numeric
@attribute test_churn numeric
@attribute status {0,1}

@data
28,1,tarde,0,0,1,1,0,0,0,terca-feira,1,0.057485,4.356069,0,0
21,1,noite,0,0,3,3,3,27,0,segunda-feira,0,0,0,0,1
18,1,noite,0,0,4,4,3,33,1,segunda-feira,0,0,0,0,0
16,2,madrugada,0,0,3,3,0,0,0,segunda-feira,3,0.3031,22.942836,0,0
11,1,madrugada,0,0,1,1,0,0,1,domingo,0,0.063011,4.853694,0,1
11,1,tarde,0,0,1,1,1,2,0,quarta-feira,0,0.062048,4.779504,0,1
12,2,noite,1,1,4,6,5,392,0,sabado,0,0.120708,9.286881,0,0
15,11,tarde,0,0,5,5,4,86,0,sabado,1,0.295243,22.714961,202,0
87,1,madrugada,0,0,2,2,2,11,0,quarta-feira,0,0.11704,9.004676,9,1
14,1,madrugada,0,1,2,3,3,43,0,sexta-feira,0,0.181829,13.98934,20,1
18,5,noite,0,5,9,14,12,214,0,terca-feira,0,0.36522,28.098888,783,1
9,6,noite,2,6,19,27,17,2232,6,domingo,0,0.306441,23.576631,0,0
20,1,tarde,0,0,2,2,2,4,0,quarta-feira,0,0.116683,8.9772,10,1
113,1,madrugada,0,1,2,3,3,51,0,terca-feira,0,0.18962,14.588817,48,0
11,1,tarde,0,0,1,1,0,0,1,sexta-feira,0,0.061469,4.729226,0,1
6,1,noite,0,0,1,1,1,2,0,quinta-Feira,0,0.058746,4.519733,0,1
180,2,manha,0,1,3,4,4,102,0,quarta-feira,0,0.492565,37.875206,82,0
10,2,tarde,0,1,2,3,3,142,0,terca-feira,0,0.358121,27.537304,0,1
4,2,noite,0,0,2,2,0,0,2,quinta-Feira,0,0.232542,17.881075,0,0
2,31,tarde,0,0,3,3,3,190,0,terca-feira,0,3.134088,241.011897,14,1
5,2,tarde,0,0,2,2,2,4,0,terca-feira,0,0.165773,12.747958,5,1
27,4,noite,5,1,20,26,9,456,12,sexta-feira,6,0.239526,18.419605,0,1
9,1,madrugada,0,0,2,2,2,33,0,sexta-feira,0,0.112483,8.649974,0,0
7,1,manha,0,0,1,1,0,0,1,quinta-Feira,0,0.055744,4.286749,0,1
6,2,manha,0,0,6,6,0,0,6,quinta-Feira,0,0.412087,31.689562,0,1
8,1,madrugada,0,2,1,3,2,0,1,quinta-Feira,0,0.172577,13.256056,77,1
3,1,madrugada,0,0,1,1,0,0,1,quinta-Feira,0,0.057771,4.437551,0,1
45,1,madrugada,0,0,1,1,0,0,0,quarta-feira,1,0.063586,4.884203,0,1
42,1,madrugada,0,0,1,1,1,0,0,quarta-feira,0,0.056064,4.306425,2,1
9,5,madrugada,0,0,7,7,7,175,0,terca-feira,0,0.635757,48.834534,0,0
10,1,madrugada,0,0,2,2,2,62,0,segunda-feira,0,0.126898,9.747268,0,1
3,1,noite,2,0,7,9,9,97,0,domingo,0,0.417841,32.136546,0,1
12,6,tarde,0,0,4,4,1,14,2,domingo,1,0.850286,65.397061,0,1
13,1,tarde,0,0,3,3,3,15,0,domingo,0,0.170573,13.119031,76,1
11,1,noite,0,0,1,1,1,2,0,sabado,0,0,0,0,0
7,1,noite,0,0,1,1,1,8,0,sabado,0,0,0,0,1
13,2,tarde,1,3,8,12,6,130,6,sabado,0,0.704195,54.064842,0,1
27,1,tarde,0,0,1,1,1,2,0,sabado,0,0.056338,4.325381,0,0
11,4,tarde,0,1,8,9,2,4,7,sabado,0,0.169042,12.978262,0,1
5,1,madrugada,0,1,1,2,2,12,0,sabado,0,0.121103,9.292006,0,1
3,2,noite,0,0,2,2,2,7,0,sexta-feira,0,0.120401,9.238156,0,1
2,3,tarde,0,0,2,2,2,36,0,sexta-feira,0,0.347053,26.628745,0,1
22,1,tarde,0,0,3,3,3,144,0,sexta-feira,0,0.180925,13.882015,0,1
52,1,manha,0,0,1,1,1,4,0,sexta-feira,0,0.058502,4.488738,0,1
84,2,noite,0,2,4,6,4,82,0,quinta-Feira,2,0.689885,52.933629,97,1
7,1,tarde,0,0,1,1,1,2,0,quinta-Feira,0,0.060251,4.622948,0,1
9,1,noite,0,0,1,1,1,6,0,quarta-feira,0,0.060311,4.627544,0,1
5,2,noite,0,1,4,5,4,64,1,quarta-feira,0,0.519223,39.791573,8,1
10,2,manha,0,0,2,2,2,8,0,quarta-feira,0,0,0,18,1
59,2,noite,0,0,1,1,1,2,0,terca-feira,0,0.118176,9.051425,0,1
52,2,madrugada,0,0,7,7,6,105,1,terca-feira,0,0.427387,32.73485,0,1
39,6,noite,4,4,8,16,2,4,15,segunda-feira,0,1.127585,86.365145,0,1
7,1,tarde,0,0,2,2,2,101,0,segunda-feira,0,0.124624,9.545342,0,1
17,5,madrugada,2,2,10,14,0,0,17,segunda-feira,0,1.020087,78.132494,0,1
7,4,madrugada,0,1,15,16,2,20,12,segunda-feira,1,1.830455,140.201851,0,1
35,2,noite,0,0,3,3,3,18,0,domingo,0,0.229942,17.612316,30,1
31,3,tarde,0,0,1,1,0,0,1,domingo,0,0.1245,9.535999,0,1
57,2,tarde,0,1,2,3,3,118,0,domingo,0,0.247091,18.925787,0,1
40,2,tarde,0,0,2,2,0,0,2,sabado,0,0.24508,18.761458,0,1
16,2,noite,0,0,1,1,1,18,0,sexta-feira,0,0.124023,9.504071,0,1
6,2,manha,1,0,7,8,1,2,6,sexta-feira,1,0.270834,20.754427,0,1
12,12,tarde,0,0,2,2,0,0,2,quinta-Feira,0,0.63455,48.626592,0,0
11,1,noite,0,0,1,1,1,6,0,quarta-feira,0,0,0,0,1
37,2,noite,0,0,2,2,0,0,2,segunda-feira,0,0.168999,12.950679,0,1
40,1,noite,0,0,9,9,1,2,8,domingo,0,0.538333,41.253742,0,1
5,1,madrugada,0,0,2,2,2,8,0,domingo,0,0.117349,9.018292,0,1
5,1,manha,0,1,2,3,3,34,0,sabado,0,0.181119,13.919014,0,1
7,2,madrugada,4,0,9,13,1,3,8,sabado,4,0.611747,47.012458,0,1
5,2,madrugada,0,0,14,14,0,0,14,sexta-feira,0,0.816209,62.719605,0,1
6,1,madrugada,1,0,11,12,0,0,12,quarta-feira,0,0.621023,47.662337,0,1
32,2,noite,1,0,2,3,0,0,2,domingo,1,0.188483,14.440225,0,1
22,1,noite,9,0,0,9,0,0,0,domingo,9,0,0,0,0
20,1,manha,0,0,3,3,1,1,0,sabado,2,0.17417,13.343644,0,1
14,1,madrugada,0,0,2,2,2,12,0,sabado,0,0.122051,9.350688,0,1
29,1,tarde,0,0,3,3,3,4,0,sexta-feira,0,0.171481,13.137407,0,0
38,1,tarde,0,0,1,1,0,0,1,quinta-Feira,0,0.056269,4.310874,0,1
4,1,manha,0,0,1,1,0,0,1,terca-feira,0,0.069427,5.319041,0,1
23,2,manha,0,4,1,5,0,0,4,segunda-feira,1,0.289693,22.194149,0,0
5,1,noite,0,0,1,1,0,0,0,domingo,1,0.06159,4.718562,0,1
6,1,tarde,0,0,7,7,6,30,1,domingo,0,0.408368,31.286112,72,1
11,1,tarde,0,0,2,2,2,10,0,sabado,0,0.114764,8.792389,0,1
5,3,?,2,3,36,41,28,1090,11,sexta-feira,0,4.201944,321.925162,0,1
3,3,noite,0,6,5,11,9,848,0,sexta-feira,0,0.243225,18.633663,14,1
15,2,noite,0,0,2,2,1,2,1,quinta-Feira,0,0.056697,4.343567,0,1
3,74,tarde,0,0,2,2,2,618,0,segunda-feira,0,6.975772,534.434421,0,1
16,2,tarde,0,0,1,1,1,2,0,domingo,0,0.051691,3.957648,0,1
74,1,madrugada,0,0,2,2,2,16,0,domingo,0,0.126739,9.709843,8,1
1,1,tarde,0,0,1,1,1,1,0,sabado,0,0.061566,4.713737,0,0
12,1,tarde,0,0,13,13,2,12,11,sexta-feira,0,0.766391,58.677858,0,1
7,1,tarde,0,0,6,6,6,45,0,sexta-feira,0,0.367575,28.142906,0,0
