      appium ( )  projeto
      0.52 (    25)  forward_links
      0.52 (    30)  at_mentions_description
      0.46 (   363)  commits_on_files_touched
      0.46 (   258)  hotness
      0.42 (   329)  commits_to_hottest_file
      0.41 (    78)  files_deleted
      0.41 (   313)  num_commits
      0.41 (   459)  new_entropy
      0.4  (   465)  entropy_diff
      0.4  (    69)  ci
      0.39 (   275)  files_changed
      0.39 (   167)  test_churn
      0.38 (   519)  description_length
      0.38 (   427)  src_churn
      0.38 (   316)  src_files
      0.36 (   288)  files_modified
      0.35 (   606)  created_at_week_day
      0.35 (   470)  prev_pull_reqs_project
      0.35 (   174)  files_added
      0.34 (   211)  at_mentions_comments
      0.34 (   339)  created_at_day_turn
      0.33 (    96)  other_files
      0.33 (   241)  prev_pullreqs
      0.32 (   379)  sloc
      0.3  (   301)  test_cases_per_kloc
      0.3  (   254)  asserts_per_kloc
      0.3  (   771)  requester
      0.3  (   293)  stars
      0.29 (   301)  project_age
      0.29 (   369)  test_lines_per_kloc
      0.29 (   477)  perc_external_contribs
      0.28 (   271)  workload
      0.28 (   387)  project_succ_rate
      0.27 (    75)  intra_branch
      0.26 (   236)  prior_interaction_issue_events
      0.26 (   177)  prior_interaction_pr_events
      0.26 (    36)  req_follows_integrator
      0.25 (   215)  prior_interaction_issue_comments
      0.25 (   189)  prior_interaction_commits
      0.25 (   279)  first_response
      0.24 (    51)  watcher_project
      0.24 (    75)  prior_interaction_commit_comments
      0.23 (   245)  requester_age
      0.23 (   165)  team_size
      0.23 (   212)  followers
      0.22 (   134)  prior_interaction_pr_comments
      0.21 (   253)  requester_succ_rate
      0.15 (    23)  main_team_member
      0.14 (   109)  following
      0.11 (    23)  integrator_follows_req
      0    (     0)  conflict
      node ( )  projeto
      0.61 (     1)  req_follows_integrator
      0.59 (   380)  files_name
      0.41 (     4)  intra_branch
      0.37 (    29)  doc_files
      0.34 (   212)  num_commits
      0.33 (    81)  files_deleted
      0.3  (    25)  at_mentions_comments
      0.3  (   442)  entropy_diff
      0.3  (   481)  new_entropy
      0.29 (   372)  commits_on_files_touched
      0.29 (   270)  files_modified
      0.29 (   484)  description_length
      0.29 (   221)  test_churn
      0.28 (   400)  created_at_day_turn
      0.28 (   362)  hotness
      0.27 (   165)  files_added
      0.26 (   313)  files_changed
      0.26 (   393)  project_succ_rate
      0.26 (   274)  src_files
      0.26 (    17)  forward_links
      0.25 (   347)  commits_to_hottest_file
      0.24 (   379)  prev_pull_reqs_project
      0.24 (   266)  sloc
      0.23 (   682)  created_at_week_day
      0.23 (   275)  workload
      0.22 (   343)  test_lines_per_kloc
      0.22 (   228)  at_mentions_description
      0.22 (   135)  other_files
      0.22 (   456)  src_churn
      0.21 (   284)  stars
      0.21 (   274)  asserts_per_kloc
      0.21 (   268)  first_response
      0.2  (   248)  project_age
      0.2  (   211)  team_size
      0.2  (   303)  perc_external_contribs
      0.19 (   321)  test_cases_per_kloc
      0.18 (  1051)  requester
      0.17 (   357)  prior_interaction_issue_comments
      0.16 (   854)  requester_succ_rate
      0.16 (   352)  followers
      0.15 (   459)  prev_pullreqs
      0.14 (   158)  prior_interaction_commits
      0.14 (   349)  requester_age
      0.14 (   466)  prior_interaction_pr_events
      0.13 (   434)  prior_interaction_issue_events
      0.11 (    20)  prior_interaction_pr_comments
      0.1  (   246)  following
      0.09 (   244)  main_team_member
      0.08 (   234)  watcher_project
      0.04 (     2)  integrator_follows_req
      0    (     0)  prior_interaction_commit_comments
      0    (     0)  conflict
      0    (     0)  ci
      okhttp ( )  projeto
      0.72 (     1)  req_follows_integrator
      0.55 (    19)  files_added
      0.55 (   101)  new_entropy
      0.51 (    63)  created_at_day_turn
      0.51 (   175)  files_name
      0.5  (    57)  src_churn
      0.5  (    80)  description_length
      0.49 (    22)  team_size
      0.49 (    95)  entropy_diff
      0.48 (    68)  commits_on_files_touched
      0.47 (    50)  project_succ_rate
      0.45 (    57)  commits_to_hottest_file
      0.44 (    76)  prev_pull_reqs_project
      0.44 (    55)  hotness
      0.44 (    14)  other_files
      0.44 (    43)  num_commits
      0.44 (    30)  workload
      0.43 (    76)  requester
      0.43 (    48)  test_churn
      0.42 (    60)  src_files
      0.4  (    51)  prev_pullreqs
