@relation 'scala-js-data-weka.filters.unsupervised.attribute.AddExpression-Ea8/a8+0-Nstatus-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a8/a8+0 -N status-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Remove-V-R1,4,48,53'

@attribute created_at_week_day {domingo,quinta-Feira,quarta-feira,segunda-feira,terca-feira,sexta-feira,sabado}
@attribute forward_links {true,false}
@attribute prior_interaction_pr_events numeric
@attribute status {0,1}

@data
segunda-feira,false,161,1
sexta-feira,false,175,1
sexta-feira,false,174,1
sexta-feira,false,173,1
quinta-Feira,false,171,1
quarta-feira,false,170,1
quarta-feira,false,169,1
quarta-feira,false,168,1
sabado,false,0,0
quinta-Feira,false,214,1
quinta-Feira,false,213,1
quinta-Feira,false,162,1
quinta-Feira,false,161,1
terca-feira,false,211,1
terca-feira,false,162,1
terca-feira,false,161,1
terca-feira,false,160,1
segunda-feira,false,159,1
segunda-feira,false,222,1
domingo,false,159,1
domingo,false,221,1
domingo,false,158,1
domingo,false,157,1
domingo,false,218,1
sabado,false,157,1
sabado,false,218,1
sabado,false,217,1
sexta-feira,false,160,1
quinta-Feira,false,158,1
quinta-Feira,false,225,1
quinta-Feira,false,155,1
quarta-feira,false,155,1
quarta-feira,false,154,1
segunda-feira,false,225,1
segunda-feira,false,223,1
segunda-feira,false,153,1
segunda-feira,false,224,1
segunda-feira,false,224,1
quinta-Feira,false,153,1
quinta-Feira,false,229,1
quinta-Feira,false,227,1
quarta-feira,false,149,1
quarta-feira,false,148,1
quarta-feira,false,147,1
segunda-feira,false,147,1
segunda-feira,false,145,1
segunda-feira,false,143,1
segunda-feira,false,140,1
segunda-feira,false,139,1
segunda-feira,false,137,1
segunda-feira,false,136,1
domingo,false,136,1
domingo,false,135,1
sabado,false,134,1
sabado,false,133,1
sexta-feira,false,131,0
sexta-feira,false,129,1
sexta-feira,false,234,1
quinta-Feira,false,233,1
quarta-feira,false,127,1
terca-feira,false,125,1
segunda-feira,false,126,1
segunda-feira,false,234,1
domingo,false,125,1
domingo,false,125,1
domingo,false,123,1
domingo,true,122,1
domingo,false,121,1
sabado,false,231,1
quinta-Feira,false,229,1
quinta-Feira,false,228,1
quinta-Feira,false,227,1
terca-feira,false,231,1
segunda-feira,false,232,1
segunda-feira,false,233,1
segunda-feira,false,232,1
segunda-feira,false,230,1
sexta-feira,false,230,1
sexta-feira,false,230,1
quinta-Feira,false,231,1
quinta-Feira,true,3,0
quinta-Feira,false,230,1
quinta-Feira,false,2,1
quarta-feira,false,229,1
quarta-feira,false,227,1
terca-feira,false,225,1
terca-feira,false,226,1
segunda-feira,false,225,1
sabado,false,0,1
quinta-Feira,false,225,1
quinta-Feira,false,224,1
quinta-Feira,false,223,1
quinta-Feira,false,225,1
quarta-feira,false,226,1
quarta-feira,false,225,1
sabado,false,2,0
sexta-feira,false,1,0
quinta-Feira,false,155,1
quinta-Feira,false,154,1
terca-feira,false,240,1
terca-feira,false,236,1
terca-feira,false,235,1
terca-feira,false,159,1
segunda-feira,false,234,1
segunda-feira,false,157,1
domingo,false,232,1
domingo,false,153,1
sabado,false,153,1
sexta-feira,false,155,1
sexta-feira,false,154,1
quarta-feira,false,1,1
quinta-Feira,false,168,1
quarta-feira,false,227,1
quarta-feira,false,0,1
quarta-feira,false,225,1
quarta-feira,false,225,1
quarta-feira,false,226,1
quarta-feira,false,225,1
terca-feira,false,224,1
terca-feira,false,223,1
