@relation 'pouchdb-data-weka.filters.unsupervised.attribute.AddExpression-Ea8/a8+0-Nstatus-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a8/a8+0 -N status-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Remove-V-R4,14,17,36,44,53'

@attribute forward_links {false,true}
@attribute other_files numeric
@attribute new_entropy numeric
@attribute requester {pgte,greenkeeperio-bot,d0ugal,nolanlawson,daleharvey,adamlofts,tangollama,cdaringe,nickcolley,unpete,AntonioVdlC,tonylukasavage,iivvoo,garethbowen,Hypercubed,dahjelle,mroeder,sgenoud,beardicus,jacwright,bbenezech,anaran,pixelistik,willholley,KlausTrainer,Arslanbekov,fivetanley,daedlock,joshblour,RichiH,tmct,fiatjaf,mudcube,jerem,EuAndreh,wheresrhys,filoozom,garrensmith,wilk,lupomontero,rubensayshi,carloshanson,stephenlautier,bdchauvette,janraasch,swashcap,Charlotteis,mwksl,tohagan,colinskow,adamvert,ermouth,ntwcklng,scottmtp,omsmith,robertkowalski,denis-sokolov,nicolasbrugneaux,olafura,karolklp,mattbailey,Dashed,bedney,karlwestin,michalchochol,sirkitree,calvinmetcalf,kkirsche,jhs,victorkohl,slaskis,marten-de-vries,janl,nichoth,thriqon,suziwen,mainakae,yaronyg,dholth,AGBrown,jo,gr2m,viskin,alax,neojski,RichardLitt,sphaso,ronag,jjd314,oliviertassinari,yungchin,svnlto,cyrusbowman,ialbescu,jchris,tannerlinsley,tOkeshu,shimaore,slang800,tyler-johnson,JakeChampion,jez0990,rsutphin,BigBlueHat,gabrielnau,glynnbird,robertkeizer,lokeshj,anubes19,backspace,tomsun,KSchreyer,rudasn,jacargentina,cschwarz,webinista,runlevelsix,gitter-badger,yurtaev,vvo,ktarasz,azu,tomraithel,ahizzle,redgeoff,refractalize,runetvilum,frankrousseau,ssured,desertzebra,commandoline,PeterDaveHello,explorigin,ajkerrigan,dereke,guglie,redtrumpet,jprichardson,haustraliaer,bmihelac,klaemo,falmp,mdebski,yunhaia,qs44,adamshih,ig3,trokster,erikwaing,jtbarker,davedoesdev,valotas,krists,saubaer,vw52,virgie,sygi}
@attribute req_follows_integrator {false,true}
@attribute status {0,1}

@data
false,1,4.068922,greenkeeperio-bot,false,1
false,1,4.29079,greenkeeperio-bot,false,1
false,1,59.691107,daleharvey,false,0
false,0,42.193352,daleharvey,false,1
false,0,4.589131,daleharvey,false,1
false,0,4.794737,garrensmith,false,1
false,0,9.126824,daleharvey,false,1
false,0,4.379895,wilk,false,1
false,0,4.434575,wilk,false,0
false,1,4.38739,greenkeeperio-bot,false,1
false,1,4.230616,greenkeeperio-bot,false,1
false,0,4.656756,lupomontero,true,1
false,1,4.235572,greenkeeperio-bot,false,1
false,0,4.823461,rubensayshi,false,0
false,0,10.173672,rubensayshi,false,0
false,0,8.520959,daleharvey,false,1
false,0,19.047374,daleharvey,false,1
false,0,4.21011,daleharvey,false,1
false,1,4.237038,greenkeeperio-bot,false,1
false,1,4.393827,greenkeeperio-bot,false,1
false,1,4.245014,greenkeeperio-bot,false,1
false,0,5.040524,daleharvey,false,0
false,1,4.447608,greenkeeperio-bot,false,1
false,0,14.091825,willholley,false,1
false,1,4.354874,greenkeeperio-bot,false,1
false,0,4.821385,mudcube,false,0
false,1,4.302754,greenkeeperio-bot,false,1
false,1,4.245693,greenkeeperio-bot,false,1
false,0,4.430881,nolanlawson,true,1
false,1,4.261062,greenkeeperio-bot,false,0
false,1,4.417742,greenkeeperio-bot,false,1
false,1,4.417742,greenkeeperio-bot,false,1
false,0,4.432546,daleharvey,false,1
false,1,4.302754,greenkeeperio-bot,false,1
false,1,4.363305,greenkeeperio-bot,false,1
false,1,4.264844,greenkeeperio-bot,false,1
false,0,0,nolanlawson,true,1
false,0,4.301138,daleharvey,false,1
false,1,4.377955,greenkeeperio-bot,false,1
false,0,4.905163,daleharvey,false,1
false,0,13.390679,daleharvey,false,1
false,1,4.391616,greenkeeperio-bot,false,1
false,1,4.419359,greenkeeperio-bot,false,1
false,0,4.820061,carloshanson,false,1
false,1,4.358049,greenkeeperio-bot,false,1
false,0,9.107888,daleharvey,false,1
false,0,13.686431,daleharvey,false,1
false,1,4.249506,greenkeeperio-bot,false,1
false,1,4.351733,greenkeeperio-bot,false,1
false,0,4.871261,daleharvey,false,1
false,0,8.967423,daleharvey,false,1
false,0,4.293245,nolanlawson,false,1
false,0,9.438839,daleharvey,false,1
false,0,5.044324,daleharvey,false,1
false,1,4.290353,greenkeeperio-bot,false,1
false,0,4.419931,nolanlawson,false,0
false,0,4.71888,daleharvey,false,1
false,1,75.31084,daleharvey,false,1
false,86,512.830251,stephenlautier,false,1
false,0,23.310787,nolanlawson,true,1
false,1,168.701686,nolanlawson,false,1
false,0,4.90278,beardicus,false,1
false,0,13.817318,daleharvey,false,1
false,0,35.200772,bdchauvette,false,1
false,0,13.782269,daleharvey,false,1
false,3,677.506365,nolanlawson,false,0
false,1,51.767371,daleharvey,false,1
false,1,4.406062,greenkeeperio-bot,false,1
false,0,31.409011,daleharvey,false,1
false,0,247.302864,nolanlawson,false,1
false,0,18.67184,nolanlawson,false,1
false,4,272.701968,nolanlawson,false,0
false,0,4.43864,cdaringe,false,1
false,0,85.325951,daleharvey,false,1
false,1,14.354606,daleharvey,false,0
false,0,9.198515,daleharvey,false,1
false,1,54.732051,janraasch,false,1
false,0,5.122155,nolanlawson,true,1
