@relation 'scala-ide-data-weka.filters.unsupervised.attribute.AddExpression-Ea8/a8+0-Nstatus-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a8/a8+0 -N status-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Remove-V-R2,4,8,45,52,53'

@attribute created_at_day_turn {noite,tarde,manha,madrugada}
@attribute forward_links {false,true}
@attribute files_added numeric
@attribute integrator_follows_req {false,true}
@attribute first_response numeric
@attribute status {0,1}

@data
tarde,false,0,false,2,1
tarde,false,0,true,10,1
tarde,false,0,false,10,0
tarde,false,0,false,2,1
noite,false,1,false,10,1
tarde,false,0,true,10,1
tarde,false,1,false,10,0
tarde,false,0,false,10,1
manha,false,0,true,349,1
tarde,false,1,false,280,1
manha,false,0,true,9,1
madrugada,true,0,false,9,0
madrugada,false,1,false,3371,1
noite,false,0,false,5,1
noite,false,0,false,2,1
noite,false,1,false,19,1
madrugada,false,0,false,7,0
tarde,false,0,false,10,1
manha,false,0,false,-1,1
tarde,false,0,false,0,1
tarde,false,0,false,9,1
tarde,false,0,false,3,1
tarde,false,0,false,6,1
manha,false,0,false,9,1
noite,false,0,false,9,1
tarde,false,3,false,9,1
tarde,false,1,false,10,1
tarde,false,1,false,15,1
tarde,false,0,false,1,1
tarde,false,0,false,5,1
tarde,false,0,false,10,1
madrugada,false,0,false,10,1
manha,false,1,false,0,1
manha,false,0,false,13,1
manha,false,0,false,2,1
manha,false,0,false,9,1
manha,false,1,false,0,1
noite,false,0,false,1,1
tarde,false,0,false,9,1
tarde,false,0,false,9,1
tarde,false,0,false,10,1
noite,false,0,false,4,1
tarde,false,0,false,9,1
tarde,false,1,false,9,1
tarde,false,0,false,52,1
tarde,false,0,false,1,1
manha,false,0,false,15,1
manha,false,0,false,13,1
tarde,false,0,false,9,1
madrugada,false,0,false,0,1
tarde,false,0,false,9,1
tarde,false,0,false,9,1
tarde,false,0,false,1,1
tarde,false,0,false,1,1
tarde,false,0,false,6,0
tarde,false,3,false,0,1
tarde,false,0,false,9,1
noite,false,0,false,7,0
tarde,false,0,false,10,1
noite,false,0,false,9,1
tarde,false,2,false,7,1
tarde,false,0,false,7,1
manha,false,1,false,0,1
tarde,false,0,false,9,1
manha,false,2,false,3142,1
noite,false,0,false,10,1
tarde,false,0,false,10,1
tarde,false,0,false,9,1
tarde,false,0,false,1,1
tarde,true,1,false,11,1
noite,false,0,false,9,1
tarde,false,0,false,1,1
tarde,false,0,false,21,1
tarde,false,0,false,-1,0
tarde,false,0,false,1,1
tarde,false,0,false,10,1
tarde,false,2,false,10,1
tarde,false,15,false,1720,0
tarde,false,0,false,10,1
tarde,false,0,false,10,1
madrugada,false,0,false,2,1
madrugada,false,0,false,10,1
noite,false,1,false,0,0
madrugada,false,3,false,0,1
manha,false,0,false,8,1
tarde,false,0,false,0,1
madrugada,false,0,false,0,1
noite,false,0,false,10,1
manha,true,0,false,0,1
madrugada,false,1,false,10,1
tarde,false,1,false,9,1
noite,false,0,false,19,1
noite,false,0,false,329,1
tarde,false,7,false,-1,0
tarde,false,0,false,17,1
noite,false,0,false,9771,1
tarde,true,0,false,82,1
tarde,false,0,false,1123,1
tarde,false,0,false,2566,1
tarde,false,0,false,2798,1
madrugada,false,4,false,815,1
noite,false,0,false,0,1
noite,false,0,false,1,1
tarde,false,0,false,2637,1
tarde,false,1,false,0,1
tarde,false,0,false,8499,1
tarde,false,0,false,-1,1
tarde,false,0,false,-1,1
tarde,false,0,false,53,1
tarde,false,0,false,11240,0
noite,false,1,false,2570,1
noite,false,0,false,46,1
tarde,false,0,false,16,1
tarde,false,3,false,-1,1
noite,false,0,false,885,1
tarde,false,0,false,-1,1
manha,false,0,false,208,1
noite,false,9,false,2,1
noite,false,0,false,-1,1
tarde,false,38,false,-1,0
tarde,false,1,false,14,1
tarde,false,1,false,40,1
manha,false,0,false,20,1
noite,false,9,false,1,0
tarde,false,0,false,39029,1
tarde,false,0,false,1208,1
tarde,false,0,false,1214,1
tarde,false,2,false,152,1
tarde,false,1,false,372,1
madrugada,false,1,false,5,0
tarde,false,0,false,2705,1
tarde,false,0,false,144,1
tarde,false,0,false,2859,1
manha,false,0,false,23,1
noite,false,0,false,720,1
manha,false,0,false,38,1
tarde,false,0,false,15,1
tarde,false,0,false,88,1
madrugada,false,6,false,751,1
noite,false,2,false,1246,1
tarde,false,0,false,93,1
tarde,false,2,false,33,1
manha,false,5,false,216,1
manha,false,5,false,1664,1
manha,false,0,false,4,1
manha,false,0,false,20,1
madrugada,true,2,false,6671,1
noite,false,5,false,33,1
tarde,false,1,false,190,0
tarde,false,2,false,89,0
noite,false,0,true,920,1
noite,false,1,false,269,1
noite,false,1,false,270,1
tarde,false,0,false,326,1
tarde,false,0,false,24,1
tarde,false,0,false,2,1
tarde,false,1,false,37,0
tarde,false,1,false,7,1
tarde,false,1,false,101,1
tarde,false,1,false,108,1
tarde,false,0,false,65,1
tarde,false,0,false,20,1
manha,false,0,false,48,1
manha,false,0,false,19,1
tarde,false,0,false,11,1
tarde,false,0,false,62,1
tarde,false,1,false,141,1
tarde,false,4,false,5,1
tarde,false,0,false,1,1
noite,false,4,false,1152,0
tarde,false,0,false,14,1
tarde,false,0,false,0,1
tarde,false,0,false,16,1
tarde,false,0,false,12,1
noite,false,0,false,2714,1
manha,false,7,false,22,0
noite,false,0,false,36,1
tarde,false,0,false,49,1
tarde,false,0,false,63,1
tarde,false,0,false,2,1
tarde,false,0,false,8,1
tarde,false,0,false,19,0
tarde,false,0,false,31,1
noite,false,14,false,2,1
tarde,false,0,false,48,1
manha,false,7,false,27,0
madrugada,false,5,false,4,1
manha,false,0,false,5860,1
noite,false,0,true,9,1
madrugada,false,0,false,15,1
tarde,false,0,false,33,1
madrugada,false,0,false,52,0
noite,false,0,false,34,1
tarde,false,0,false,7,1
madrugada,false,2,false,45,1
tarde,false,0,false,47,1
noite,false,0,false,4,1
noite,false,0,false,2,1
tarde,false,0,false,15,1
noite,false,0,false,1,1
tarde,false,0,false,48,1
tarde,false,0,false,39,1
tarde,false,0,false,40,1
tarde,false,0,false,43,1
tarde,false,0,false,47,1
tarde,false,0,false,44,1
tarde,true,0,false,8,0
madrugada,false,1,false,54,0
tarde,true,10,false,4,1
tarde,false,0,false,43,1
noite,false,0,false,22,1
noite,false,0,false,18,1
noite,false,0,false,0,1
tarde,false,0,false,34,0
tarde,false,7,false,35,0
tarde,false,0,false,11,1
tarde,false,0,false,7,1
noite,false,0,false,31,1
tarde,false,0,false,12,1
tarde,false,0,false,27,1
tarde,false,1,false,37,1
tarde,false,0,false,29,1
madrugada,false,0,false,22,0
noite,false,0,false,38,1
noite,false,1,false,29,1
tarde,false,1,false,23,1
tarde,false,16,false,17,1
noite,false,1,false,29,1
tarde,false,0,true,8,1
madrugada,false,16,false,24,1
tarde,false,0,true,38,1
tarde,true,2,false,8,0
noite,false,3,false,951,1
noite,false,0,false,950,1
tarde,false,0,false,44,1
noite,false,0,false,12,1
tarde,false,3,false,27,1
noite,false,0,false,18,1
noite,false,0,false,32,1
noite,false,0,false,42,1
noite,false,0,false,4,1
noite,true,18,false,0,0
noite,false,0,false,3,0
tarde,false,0,false,9,1
noite,false,0,false,34,0
madrugada,false,0,false,43,1
madrugada,false,0,false,19,0
tarde,false,0,false,11,1
tarde,false,0,false,23,1
noite,false,0,false,34,1
noite,false,13,false,23,0
tarde,false,3,false,17,1
tarde,false,5,false,2,1
madrugada,false,5,false,15,1
noite,false,0,false,35,1
noite,false,0,false,2,1
tarde,false,0,false,50,1
noite,false,0,false,9,1
tarde,false,12,false,8,1
tarde,false,0,false,133,1
tarde,false,0,false,10,1
tarde,false,5,false,6,0
tarde,false,0,false,26,0
tarde,false,1,false,29,1
noite,false,0,false,12,1
noite,false,3,false,55,1
manha,false,6,false,54,1
noite,false,0,false,36,1
noite,false,0,false,12,1
madrugada,false,0,false,30,1
noite,false,1,false,44,1
noite,true,1,false,49,1
noite,false,0,false,95,1
tarde,false,0,false,32,1
noite,false,0,false,5,1
noite,true,0,false,15,1
noite,false,0,false,38,1
noite,false,0,false,24,1
noite,false,0,false,3,1
tarde,false,0,false,3,1
noite,false,0,false,18,1
noite,false,1,false,7,1
noite,false,0,false,27,1
noite,false,0,false,44,1
noite,false,2,false,32,1
noite,false,0,false,45,1
noite,false,0,false,46,1
noite,false,0,false,22,1
tarde,false,0,false,16,1
noite,false,17,false,6,1
tarde,false,4,false,35,1
noite,false,0,false,55,1
noite,false,4,false,8,0
tarde,false,4,false,24,0
noite,false,0,false,39,1
